Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
2025-07-01,FULHAM GARDENS,5024,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,FULHAM GARDENS,5024,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
2025-07-01,GAWLER EAST,5118,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,1
2025-07-01,GAWLER SOUTH,5118,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
2025-07-01,GEPPS CROSS,5094,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,2
2025-07-01,GILLES PLAINS,5086,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,3
2025-07-01,GLENELG,5045,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,4
2025-07-01,GLENELG NORTH,5045,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,1
2025-07-01,GLENELG NORTH,5045,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,GLENELG NORTH,5045,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,2
2025-07-01,GLENELG NORTH,5045,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
2025-07-01,GLENELG SOUTH,5045,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
2025-07-01,GLENSIDE,5065,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,GLENSIDE,5065,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
2025-07-01,GLENSIDE,5065,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
2025-07-01,GOODWOOD,5034,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
2025-07-01,GOODWOOD,5034,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
2025-07-01,GOODWOOD,5034,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
2025-07-01,HACKNEY,5069,OFFENCES AGAINST PROPERTY,THEFT,Theft from retail premises,2
2025-07-01,HALLETT COVE,5158,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
2025-07-01,HAWTHORNDENE,5051,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,1
